"contenido","cantidad"
"No, sería falso que pongas a un admin como ""modificador"" si él nunca modificó a ese registro. Deberías poner un campo ""creado_por""  con referencia al ortodoncista, y ""modificado_por"" en nulo.

PD: Insisto que estudien de finales pues es la misma complejidad","3"
"Buenas! A partir de las 9 ya estaríamos.","3"
"Buenas Matías! ¿Cómo va?

1. Claro, vos en GastosController podrías definir la URI necesaria para registrar un gasto mediante API Rest. El 23/07 otro compañero en este mismo hilo consultó y compartió su pseudocódigo y es correcto. 

2. Sí, podrías resolverlo de esta forma 🙂","3"
"Una clase Metrica y una clase ""intermedia"" que guarde el valor que obtuvo una respuesta concreta a la metrica. La podes llamar MetricaEvaluada, algo por el estilo","3"
"Buenas! Disponibilidad es subatributo de Fiabilidad. La API REST no está operativa en todos los casos en que se la requiere.","3"
"Buenas! Si Mati. De todas formas podes ir al navegador, entrar a cualquier sitio y abrir la consola de desarrollo en solapa Red como para verificarlo sobre alguna request. Ahí vas a ver que figura en el header","3"
"Bien, las data class son clases que solo estan almacenando datos en sus atributos y que no tienen comportamiento (mas que getters y setters).

En este caso, la clase ""MiembroDeUDDS"" sería un data class si no tiene nada mas que atributos, y no esta mal que así sea.

Un ejemplo podría ser la tipica clase ""Persona"", tiene nombre apellido dni etc etc. Es más en este caso capaz convenga tener la clase Persona, con un atributo boolean para saber si esDeUDDS, pero eso ya depende de tu diseño!","3"
"Y no termino de entender por qué estás creando todas las materias adentro de un array, te conviene tenerlas como variables para poder pasarlas como parámetro para instanciar las materias que las tienen como correlativas","3"
"En esta capa podes ver solo como un mensaje a la notificacion, lo de aceptar un viaje no es responsabilidad de esta capa porque es con un boton!","3"
"Buenas tardes! La idea es que puedan diseñar toda la solución sabiendo que tienen que utilizar dicha API pero no necesariamente integrándose realmente contra ella. Hemos visto en clases mecanismo para poder seguir adelante con el diseño pese a que falte una parte “necesaria” pero que sabemos “exactamente la responsabilidad que tiene”","3"
"Dijeron que en principio 2:30hs","3"
"muchas gracias!","3"
"Buenas Nico! Como bien mencionas, el enunciado dice ""puede haber un solo cuidador"" es decir que cantidad de cuidadores puede ser = 1, pero no esta obligado a ser uno. En otras palabras, cantidad de cuidadores posibles >= 1. Vos podes elegir a varios, o si quisieras a uno solo","3"
"Buenas María! Como Eze mencionó arriba, ambas son alternativas válidas, y queda un poco a gusto y preferencia de cada uno. Yo recomendaría amigarse con StarUML, ya que a lo largo del año vamos a hacer otros tipos de diagramas que no se si se puedan hacer con Plant. De todas maneras, que conozcas ambas herramientas te sirve a vos el día de mañana 😁","3"
"Lo desarrolla otro equipo pero dentro de nuestro Sistema. Es diferente a Instagram por ejemplo, que sí es 100% externo.","3"
"Buenas quiero sumar un poquito a lo que pregunto uri hace un rato.
Me marié un poco a la hora de diseñar los adapters que se usan para consumir api_rest, porque hasta el momento, por lo general yo venia haciendo una firma por ejemplo **consultarVeracidadPersona(Persona): bool** en la cual asumía que se consultaba una api externa y esta te devolvía un json con datos y luego de ahí deducir si la persona es veraz o no.
El problema con esto es que al definir un valor de retorno estaría medio forzando a que la integracion sea sincrónica (A menos que use algún recurso tipo hilos y me quede esperando ahi) 
En el caso del webhook como hay que definir un endpoint aparte entonces la firma pasaría a ser void **consultarVeracidadPersona(Persona)**
Entonces cambia completamente la firma del adapter según el tipo de integración
Ademas sigo medio dando vueltas con el tema de quien define si la respuesta es sincrónica o asincronica. si el que te expone la api o nosotros como clientes de la misma. Puesto que en varios finales solo dice algo como ""consulto tal cosa mediante una API REST"" y no hay mucho mas detalle que eso","3"
"Buenas tardes <@694892987666268170>, la parte teórica es para el curso de Miércoles Noche, no para Martes. Solamente tenés que rendir las partes prácticas que adeudes.","3"
"Buenas!, molesto con una consulta, mas o","3"
"Fede! Porque son dos relaciones distintas..
- El vehículo puede tener muchos propietarios,  y a la vez una persona puede ser propietaria de muchos vehículos
- Pero también la persona puede tener muchos autos en su flota familiar, cuyos vehículos NO LE PERTENECEN (no es propietario), y un vehículo puede tener muchas personas dentro de su ""flota"". Ejemplo: quizás el propietario del vehículo de tu familia sea tu Viejo y tu Vieja; y vos capaz que en tu flota familiar tenes al auto de los dos y al de tu hermano.","3"
"Hola Agustin! Lo que comentas en el 1) se podria resolver en otra capa. En la capa de dominio se tienen que enfocar en modelar las clases que te permitan hacer un viaje o que como cuidador te notifiquen de como viene el viaje de otra persona!
2)  Esas acciones que comentas, cuales serian?","3"
"Buenas! Tal cual, tenés la distancia pero para saber la demora necesitas saber una velocidad. Podrías utilizar una velocidad ""promedio"" que venga de un archivo de configuración, puede ir por ahi 🙂","3"
"Hola <@694892987666268170>, es un Diagrama de Componentes, no más que eso, no se asunten por el ""tamaño"".  Siempre respasen los Diagrama de Componentes y Despliegue!","3"
"En ese punto se lo puede enviar, pasar la ruta o simplemente avisarle ya está listo. Si es el último caso, en general en el paso 1, le devolvió un ID de operación y acá le dice la operación #### está lista.","3"
"Buenas! 
Al hacer que una opción tenga una FK a la respuesta se está perdiendo la reutilización. En todo caso Respuesta tiene una FK a opción, y por supuesto si se admite más de una opción en una respuesta probablemente estemos ante un Many to Many. Con un single choice, la FK es de Respuesta a Opción y en multiple choice estaría la tabla intermedia. Por lo pronto, eso es lo que observo como detalle, el resto está bien!","3"
"Buen día Elias! Hoy es práctica arquitectónica, así que no, no hace falta que lean nada","3"
"Buenas! Desde la web podés gestionar y ver el repositorio remoto. Para gestionar tu repositorio local lo podés hacer desde el Cliente Desktop o desde Consola.","3"
"Buenas! El @CollectionTable no te genera una PK en forma explícita, solo guarda la FK a Personaje en este caso y el valor","3"
"Buenas noches <@295323619381477377> te paso un link de referencia.

https://davidbertoldi.medium.com/hashing-passwords-in-java-757e787ce71c

Por las dudas para el resto, siempre es importante diferenciar la encriptación del hasheo. Si alguien tiene dudas, revise el link!","3"
"Mati, en el momento podes preguntar si es necesario graficarlo y listo. Recordá siempre el lema de: mientras más comunique en mi solución mejor. Nosotros no estamos en tu cabeza y si no graficas/mencionas algo, no sabemos si es que no lo hiciste porque no lo sabes o simplemente porque no querías mencionarlo/graficarlo.

Respecto a la segunda pregunta: graficar la interface entrante sería mostrar el controller con el método y el DTO involucrado en la exposición de dicho endpoint.","3"
"Que raro, ya me lo había pedido uno jajaja. Ahí te paso igual","3"
"hola! 9.30 en Medrano 🙂","3"
"Buenas noches <@568635320258658315> en general se puede utilizar sin problemas. Muchas veces agregamos una clave subrogada, por ejemplo una ID Autoincremental como PK, y las otras dos claves quedan como FK. Esto lo hacemos por simplicidad.","3"
"En General la propuesta es correcta. Te dejamos algunas consideraciones:

- La dirección Cliente es poco común que sea reutilizable. Si dos Clientes viven en la misma dirección en general se genera un nuevo registro, de otra manera tendría que buscar y asignar, y la búsqueda deberían compararse varios campos. Pensar el Caso de Uso.

- La tabla Administrador se podría pensar como una tabla Usuario o Persona con un rol (Cliente, Administrador, etc).

- Se podría pensar una tabla de PosibleEstado para disponer de un Desplegable y que sea fácil de agregar nuevos, sin necesidad de por ejemplo desplegar nuevamente la solución.

- Tiene más sentido que la Orden tenga la FK del Carrito y no al revés. Si el carrito se piensa efímero se podría replicar el Item en la Orden. Si me quedan Carritos sin finalizar esa tabla puede crecer mucho.

- ¿Por qué el Catálogo tiene el Cliente? Como te diste cuenta vos, el Catálogo puede estar representado como la Tabla Melodías. 

- La tabla Caja_Musical no es necesario que tenga relación a Catalogo_Caja y a Melodía. Le cambiaría el nombre a Item_Carrito o algo similar.

- ¿Cómo se maneja el Stock? Entendemos que ""contando"" la cantidad de Caja_Catálogo, se podría desnormalizar el valor por performance.","3"
"Buenas! Consulta, probaste a abrir el proyecto seleccionando el POM en vez de una carpeta? Puede que estes abriendo una que IntelliJ no detecta de forma correcta y por eso se trula. Por otro lado, si accedes a la carpeta del proyecto desde el explorador de archivos, tenes la carpera src?","3"
"Buenas! Pueden crear una branch aparte, llamada ""mapa"", y ponerlo ahí dentro en una carpeta situada en la raíz.","3"
"Buenas gonza. Si no me equivoco, te esta faltando el import. Abajo de donde dice ""package domain.lugares"" escribi: import Java.Util.List;  (Si te sigue tirando error decime)","3"
"Juanma, en ese caso deberías tener una FK hacia comuna, en la tabla admin; y luego una relación ManyToMany entre Admin - Comuna para referenciar a las ""otras"" en las que trabaja. No podrías tener dos campos como mencionaste, porque el enunciado no hace referencia exclusivamente a DOS comunas.","3"
"Buenas! ¿Puede ser que te hayas confundido el nombre del final? En el de rebah creo que no se menciona lo de la UDDS. Si podes pasa el link!","3"
"En realidad, en tiempo de ejecucion si. Es decir que con la app corriendo el usuario podria utilizar, en algunos momentos, la app como viajero y en otras cuidando a otros viajeros. Se entiende?","3"
"Buenas! Sí, podría entrar!","3"
"Bien! Es correcto lo que mencionas del code smell.

Mi comentario iba mas orientado a las entidades. Aquellas clases que no te pueden faltar porque sino no tenes sistema, por ejemplo una factura en el sistema de facturación.

Vamos con el ejemplo de antes. La clase Persona, tiene sus datos personales, y ademas podría tener una dirección (calle, nro, piso, dpto etc etc) la cual es relevante para el dominio por algun motivo.

La Persona es una entidad. No te puede faltar.
Ahora bien, que tal si sus datos personales los separamos en otra clase llamada DatosPersonales, y allí guardamos nombre apellido dni etc. Esta sería una data class. Sobra completamente, ya que podríamos tener esos atributos en la Persona y ya.
Por otro lado tenemos la dirección. Digamos que también la separamos en una clase. En este caso será un value object, ya que tiene mayor relevancia para el dominio y ademas porque no tiene sentido de existencia propio, es decir que tiene que haber una persona con esa dirección, para que exista en el sistema.

¿Quedo mas claro ahora? 😁","3"
"genial, gracias, lo deberia sumar entonces : )","3"
"Buenas tardes! Usa maven Archetype y ponele el arquetipo llamado ""QuickStart"" 😁","3"
"Hola Fede! Por lo que se menciona en el enunciado, nivel de urgencia y nivel de confidencialidad cuentan con valores predefinidos, en Objetos te harian pensar en un ENUM quiza. Dependeria del nivel de cambio que vos consideres que puede llegar a tener. Si lo tuvieras como tabla aparte tenes la ventaja de poder agregar nuevos registros con un UPDATE vs. si agregas un literal en el ENUM vas a tocar codigo. Si optas por crear una entidad aparte, justificalo por ese lado y estaría bien. Si optas por pensar que en Objetos se representa con un enum, lo dejarías en datos como VARCHAR. Como siempre decimos, preferible que mantengas esa elección y la justifiques en un recu o final por el poco tiempo del que se dispone. 

Respecto al estado de la solicitud, está bien cómo lo pensaste. El estado en sí es algo genérico (Completado, por ejemplo), la entidad intermedia es la que te da el Cambio de Estado con su trazabilidad de fechas etc. Pensarlo así te permite reutilizar estados y mantener consistencia de datos. 🙂 

En cuanto al Diagrama, lo veo muy encaminado.","3"
"Hola <@431566267078410240> <@619124331317952533>     
les pido el link del repo para la actividad. Gracias","3"
"Es imporante que entiendas como funciona. Te doy un ejemplo tengo dos servicios uno que genera una venta y otro que genera el PDF de la Venta. El Servicio de Venta le hace un POST al ServicioPDF con los datos de la factura, el Servicio PDF le devuelve un 200 OK, simplemente que recibió los datos y se cierra la conexión. Luego el ServicioPDF genera el PDF (cuando él puede/quiere) y le avisa al Servicio de Venta a la dirección de Callback que ya está listo el PDF.","3"
"Perfecto, muchas gracias!","3"
"hola, no! depende. De todas formas si llegara a coincidir lo que es el Dominio, le tendrías que sumar el punto de pseudocódigo. 🙂","3"
"El dominio cuenta un poco y nos lleva a interpretar que esa acción la realizan personal de la ONG","3"
"en la persistencia anda de los mas complejo a lo mas sencillo fijate que es lo mas importante","3"
"Hola, me toco corregir su tp, mandenme mensaje cuando puedan <@658132854009495553> <@963765521986228224>","3"
"Hola Sahira! El PosibleEstado representa la etiqueta de cada estado por el que puede pasar un trámite (Ej: En Revisión). El PosibleEstadoTramite representa por cada posible estado, las acciones que se van a tener que ejecutar para el estado (pensando concretamente en UN trámite de UNA entidad). Por último, el Estado es el registro concreto. Podrías pensar que PosibleEstadoTramite es la configuración genérica de un trámite, mientras que Estado representa que para X trámite tal fecha estuvo ""En revisión""","3"
"Hola Juanma! No, al contrario. Sugerimos lectura completa antes de comenzar a resolver dominios. No te preocupes, a medida que avancemos las clases te irás dando cuenta el por qué de esto. Quizás es muy pronto para entender el por qué con el breve ejercicio que les pasamos, ya que la intención era otra con ese problema.","3"
"Buenas noches <@646060215900569600> en general esos ""reportes"" están propuestos para generar una Desnormalización por Perfomance. La estructura de la/s tablas deben reflejar la necesidad a mostrar en los reportes.","3"
"Hola <@260788983284367361> <@692511931394949201>, nos toco corregir su tp. Cuando puedan mandenme el repo asi lo miramos! Gracias","3"
"Hola <@694661527109763102>, es conveniente proponer un GeneradorDePoliza.  La condiciones pueden no ser estrategias, pero si pueden compartir una interfaz común.","3"
"Existe el tipo de dato enum en MySQL!
 https://dev.mysql.com/doc/refman/8.4/en/enum.html#:~:text=An%20ENUM%20is%20a%20string,specification%20at%20table%20creation%20time.

Otra alternativa (en un final, por ejemplo) es partir del diagrama de clases, indicar que es un enum y transformarlo en varchar","3"
"Yo me anote con excepcion a correlativas no se si tiene que ver eso","2"
"Buenas! Sí, deberías tener registro de las fechas y si te pidiera auditoria quién realizó el cambio de estado. Un enum no sería suficiente","2"
"Hola buenos días, les quería consultar si el tp de la clase 1 de entrega individual o grupal","2"
"Está en Webcampus","2"
"bardie","2"
"<@&1219817855818661976> Algun ayudante me puede tirar el link del zoom para entrar a la clase, creo que se cayo el campus","2"
"Subida!","2"
"Buenas! Listo, la acabo de subir","2"
"Si es importante que no se olviden del Componente Externo del SSO porque se muestra dónde se está delegando la responsabilidad y que es una integración externa. Si generan un Componente interno no está mal, la otra opción es que directamente el componente del Back se integre.","2"
"genial muchas gracias","2"
"Corregido, gracias!","2"
"Ese problema ya lo solucionamos (teníamos un problema con la ruta), pero ahora nos tarda demasiado en cargar las paginas el .jar, tanto en local como en aws, ejecutandolo en el main va bien, pero cuando hacemos el .jar, tarda bastante","2"
"Buenas! No. Recomendamos que lo intenten mapear en código para que se aseguren que su mapeo funciona (en un proyecto real de Hibernare, tal como vimos en clases)","2"
"Si, los atributos son privados! Pero los getters y setters son públicos","2"
"buenas, perdón recién veo, es mio","2"
"Es una columna y luego lo explicas en las justificaciones.","2"
"https://medium.com/@a.herrerapuertas/query-params-path-params-614e878957ce","2"
"Sospecho que viene por algo de la conexión a la base de datos. Podemos revisar también el String de Conexión y algunos detalles.","2"
"Buenas, tengo esta versión","2"
"@everyone espero que estén muy bien y cerrando cuestiones. 

En lo personal este Viernes 20/12 voy a estar complicado para responder y el equipo también está a full con diferentes cuestiones de Diseño y también personales. Les prometo que no es mala voluntad, es muy fin de año para todos!
 
Les pido que trabajen en equipo para las dudas, revisen apuntes, clases regulares, clases de consulta, búsqueda refinada en Google, IA generativa y todo el material que está disponible. 

Si necesitan alguna pregunta, les pedimos preguntas más puntuales, así les podemos responder de forma más ágil! 

Gracias por el compromiso de todo el año!","2"
"También seguro hay parte teórica  igual que el primer parcial ( acordate que si hay un ejemplo que la sentencia  no se cumple entonces es falso)  aprovecho para pasarle al resto ese dato la justificación la pueden hacer con ese ejemplo …… 
Si a pesar de eso queres  mas … avisame  y el finde te busco en los exámenes que tengo de otros años para subirte algún enunciado mas","2"
"Buenas! Sacá la anotación de @RunWith que tenes arriba de la clase.","2"
"en ds veo que hay un chat que dice clases grabadas pero solo tiene el cronograma de la materia y en el cronograma no veo ningun link tampoco","2"
"Buenas noches <@832312798423154759>, fijate si ese método no es más un Caso de Uso, que un método con comportamiento en objetos.","2"
"Hola Jaemin! Sí! Apunta a eso","2"
"Drive del curso (link en webcampus), luego carpeta grabaciones","2"
"Buenas! Mil disculpas la molestia, <@315681921549991947>  estamos teniendo un error en el despliegue y no sabemos a que puede estar relacionado. El proyecto se buildea correctamente, pero a la hora de ejectuar el JAR nos tira el siguiente mensaje. Al correr el tp en intellij lo hace sin problemas, por lo que no entendemos que estamos haciendo mal. Desde ya muchas gracias!!","2"
"Porque no me aparece aca lo de hacer la list de util","2"
"Buenas, buscamos al grupo 43, somos del 25","2"
"Buenas noches <@699097686959194303> es una forma de nombrar a una Base de Datos que guarda datos de referencia, principalmente para evitar redundancia y generar consistencia en el Sistema. Por ejemplo el Maestro de Países, Provincias, etc.","2"
"Gracias profe!","2"
"Okey. Por las dudas el pom que se ve en el seminario no lo copien demasiado, quedense con el que se les autogenera y las dependencias vayan a buscarlas al repo de maven","2"
"<@510990374651822092> buenas tardes! Cito a <@757767776159924335> con recomendaciones para el Diagrama de Despliegue + Componentes","2"
"Ah bueno es verdad, lo del DTO no se como lo pondria en el diagrama igual pero lo de las caberturas lo tomo en cuenta para otros finales, gracias! 😄","2"
"El repo lo tenemos así. igual pasamos los test que mostraron el la clase de persistencia","2"
"Ademas de lo que se toma en los finales se toma un ejercicio netamente de persistencia es decir dado un diagrama de clases  deberán  no solo hacer el modelo de datos sino que  ademas deberan escribir las anotations necesarias para lograrlo … la practica de eso es el tp …","2"
"<@1090639225860395120> en la clase de consulta el profe habla del formato de pregunta/respuesta","2"
